PLAYER_ID;PLAYER_NAME;TEAM_ID;SEASON
147;Bruno Fernando;1610612737;2019
148;Brandon Goodwin;1610612737;2019
149;Chandler Parsons;1610612737;2019
150;Jimmy Butler;1610612748;2019
151;Bam Adebayo;1610612748;2019
152;Meyers Leonard;1610612748;2019
153;Duncan Robinson;1610612748;2019
154;Kendrick Nunn;1610612748;2019
155;Goran Dragic;1610612748;2019
156;Justise Winslow;1610612748;2019
157;Chris Silva;1610612748;2019
158;Tyler Herro;1610612748;2019
159;Kelly Olynyk;1610612748;2019
160;Derrick Jones Jr.;1610612748;2019
161;Udonis Haslem;1610612748;2019
162;James Johnson;1610612748;2019
163;Joe Harris;1610612751;2019
164;Taurean Prince;1610612751;2019
165;Jarrett Allen;1610612751;2019
166;Garrett Temple;1610612751;2019
167;Spencer Dinwiddie;1610612751;2019
168;Dzanan Musa;1610612751;2019
169;DeAndre Jordan;1610612751;2019
170;Iman Shumpert;1610612751;2019
171;David Nwaba;1610612751;2019
172;Theo Pinson;1610612751;2019
173;Nicolas Claxton;1610612751;2019
174;Treveon Graham;1610612750;2019
175;Robert Covington;1610612750;2019
176;Karl-Anthony Towns;1610612750;2019
177;Jarrett Culver;1610612750;2019
178;Andrew Wiggins;1610612750;2019
179;Jeff Teague;1610612750;2019
180;Josh Okogie;1610612750;2019
181;Shabazz Napier;1610612750;2019
182;Keita Bates-Diop;1610612750;2019
183;Gorgui Dieng;1610612750;2019
184;Jordan Bell;1610612750;2019
185;Naz Reid;1610612750;2019
186;Noah Vonleh;1610612750;2019
187;Dorian Finney-Smith;1610612742;2019
188;Kristaps Porzingis;1610612742;2019
189;Dwight Powell;1610612742;2019
190;Tim Hardaway Jr.;1610612742;2019
191;Luka Doncic;1610612742;2019
192;Delon Wright;1610612742;2019
193;Seth Curry;1610612742;2019
194;Maxi Kleber;1610612742;2019
195;Jalen Brunson;1610612742;2019
196;Justin Jackson;1610612742;2019
197;Boban Marjanovic;1610612742;2019
198;J.J. Barea;1610612742;2019
199;Courtney Lee;1610612742;2019
200;LeBron James;1610612747;2019
201;Anthony Davis;1610612747;2019
202;JaVale McGee;1610612747;2019
203;Danny Green;1610612747;2019
